the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.75598862972154 40.75232472696045),4,Queens,411,23,26,16,6,2978,1640,Municipal Facilities,backless,01/28/2015,5700 223rd Street,5700 223rd Street,Springfield Boulevard,58th Avenue and 56th Avenue,Queens,411,Q27,Not Applicable,40.752333,-73.75599,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01071154939717 40.71367574360209),1,Manhattan,101,1,66,26,10,1839,516,General,backed,03/11/2013,30 West Broadway,30 West Broadway,"Park Place, Greenwich Street & West Broadway",Greenwich Street &West Broadway,Manhattan,101,Not Applicable,Not Applicable,40.713684,-74.010713,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-73.91476957389455 40.83350271690897),2,Bronx,204,16,77,33,15,3639,41,Senior Safety,backed 2,03/25/2017,252 E. 167th Street,252 E. 167th Street,E. 167th Street,Grant Avenue & Morris Avenue,Bronx,204,Not Applicable,Not Applicable,40.833511,-73.914771,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95630257029369 40.66727875090827),3,Brooklyn,309,35,57,20,9,2943,786,Municipal Facilities,backless,12/24/2014,1620 Bedford Avenue,1620 Bedford Avenue,Bedford Avenue,Carroll Street & Crown Street,Brooklyn,309,B49,Not Applicable,40.667287,-73.956304,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94377357162186 40.70435774303279),3,Brooklyn,301,34,53,18,7,2052,666,Senior Center,backed,07/31/2013,80 Seigel Street,80 Seigel Street,Seigel Street,Graham and Manhattan Avenues,Brooklyn,301,Not Applicable,Not Applicable,40.704366,-73.943775,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9145315836464 40.656295751193525),3,Brooklyn,317,42,58,21,9,2450,985,Health Care Facilities,backed,04/30/2014,9701 Church Avenue,9701 Church Avenue,Church Avenue,E. 98th Street and Rockaway Parkway,Brooklyn,317,Not Applicable,Not Applicable,40.656304,-73.914533,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89229257704223 40.89585670424551),2,Bronx,226,11,81,34,16,3600,34,Bus Route,backed 2,03/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.895865,-73.892294,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94855656468785 40.79780272450928),1,Manhattan,110,9,68,30,13,2265,1383,Community Health Centers,backless,12/02/2013,1330 5th Avenue,1330 5th Avenue,5th Avenue,E111th & E112th Street,Manhattan,110,M01,Not Applicable,40.797811,-73.948558,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.91761158198767 40.668646748860944),3,Brooklyn,316,41,55,20,9,1709,1891,BID,backed,02/22/2013,1518 Pitkin Avenue,1518 Pitkin Avenue,Pitkin Avenue,Legion Street & Saratoga Avenue,Brooklyn,316,Not Applicable,Pitkin Avenue,40.668655,-73.917613,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.88496208559258 40.676589053393826),3,Brooklyn,305,37,54,18,7,2298,1360,General,backed,12/13/2013,343 Cleveland Street,343 Cleveland Street,Atlantic Avenue,Elton Street & Cleveland Street,Brooklyn,305,Q24,Not Applicable,40.6765890534,-73.8849620856,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.88369458902135 40.74329173372283),4,Queens,404,25,39,16,6,3010,1729,General,backed,02/02/2015,81-04 Broadway,81-04 Broadway,Broadway,81st Street and 82nd Street,Queens,404,Not Applicable,Not Applicable,40.7433,-73.883696,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78246862520297 40.68335774135726),4,Queens,412,27,32,10,5,2074,710,Community Health Centers,backed,08/05/2013,118-11 Guy R. Brewer Boulevard,118-11 Guy R. Brewer Boulevard,Guy R. Brewer Boulevard,Foch Boulevard and 119th Avenue,Queens,412,Not Applicable,Not Applicable,40.683366,-73.78247,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9870045580122 40.69810174537276),3,Brooklyn,302,33,52,25,7,802,146,General,backless,07/25/2012,212 Jay Street,212 Jay Street,Jay Street,Nassau and Concord Streets,Brooklyn,302,Not Applicable,Not Applicable,40.69811,-73.987006,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91152057766824 40.776713728160104),4,Queens,401,22,36,13,14,3515,2458,General,backed,12/03/2016,29-25 Ditmars Blvd,29-25 Ditmars Blvd,Ditmars Blvd,31st Street & 29th Street,Queens,401,Not Applicable,Not Applicable,40.776722,-73.911522,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94065857588532 40.65122875321173),3,Brooklyn,317,45,58,21,9,3229,2328,Municipal Facilities,backed,05/05/2016,3924 Church Avenue,3924 Church Avenue,Church Avenue,39th Street & 40th Street,Brooklyn,317,Not Applicable,Not Applicable,40.651237,-73.94066,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78342162271367 40.71061573623008),4,Queens,412,27,29,14,5,2801,1437,Municipal Facilities,backed,11/20/2014,179-01 90th Avenue,179-01 90th Avenue,179th Street,90th Avenue & Hillside Avenue,Queens,412,Not Applicable,Not Applicable,40.710624,-73.783423,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00583655507873 40.65292375510771),3,Brooklyn,307,38,51,20,7,2893,874,Municipal Facilities,backless,01/05/2015,987 4th Avenue,985 4th Avenue,4th Avenue,38th Street and 39th Street,Brooklyn,307,B70,Not Applicable,40.652932,-74.005838,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9046965774422 40.81737471959489),2,Bronx,201,17,84,29,15,3865,315,General,backed,08/23/2017,Abigail Playground,800 E 156th Street,Tinton Avenue,Tinton Avenue & Union Avenue,Bronx,201,Not Applicable,Not Applicable,40.817383,-73.904698,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92779257868727 40.6746477479665),3,Brooklyn,308,36,56,25,8,2941,1230,Municipal Facilities,backless,01/09/2015,130 Rochester Avenue,130 Rochester Avenue,Rochester Avenue,Bergen Street & St Marks Avenue,Brooklyn,308,B15,Not Applicable,40.674656,-73.927794,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02135999366405 40.63811798021232),3,Brooklyn,310,38,51,23,7,2909,2909,Municipal Facilities,backless,12/24/2014,6470 4th Ave,6470 4th Ave,4th Avenue,65th Street & 66th Street,Brooklyn,310,B9,Not Applicable,40.6381179802,-74.0213599937,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95741357007094 40.67222574995696),3,Brooklyn,308,35,57,20,9,1963,794,General,backless,06/19/2013,766 Franklin Avenue,766 Franklin Avenue,Franklin Avenue,St. Johns Place & Lincoln Place,Brooklyn,308,B48,Not Applicable,40.672234,-73.957415,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00748655149106 40.70492374476891),1,Manhattan,101,1,65,26,10,2032,697,General,backless,08/08/2013,95 Wall Street,95 Wall Street,Gouverneur Street,Front Street and Water Street,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.704932,-74.007488,AE,,1
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,940,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.98048956170726 40.68041974862392),3,Brooklyn,306,39,52,25,7,2347,1165,General,backed,01/08/2014,610 Baltic Street,610 Baltic Street,4th Avenue & Butler Street,4th & 5th Avenue,Brooklyn,306,Not Applicable,Not Applicable,40.680428,-73.980491,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.99589123250267 40.71652796139639),1,Manhattan,102,1,65,26,7,3804,405,Senior Safety,backed,12/28/2017,70 Bowery,70 Bowery,Bowery,Canal Street & Slip Lane,Manhattan,103,Not Applicable,Not Applicable,40.7165279614,-73.9958912325,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89512559149806 40.64791075223106),3,Brooklyn,318,42,58,19,8,4156,1083,Bus Route,backless 2,09/13/2018,764 East 105th Street,764 East 105th Street,Flatlands Avenue,E 104th Street and E 105th Street,Brooklyn,318,B82,Not Applicable,40.647919,-73.895127,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.92849556976103 40.8290267184749),2,Bronx,204,16,84,29,15,3181,1954,AAR,backed,10/01/2015,1 E. 161st Street,1 E. 161st Street,161st Street,Macombs Dam Bridge & River Avenue,Bronx,204,Not Applicable,Not Applicable,40.829035,-73.928497,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.88403097584299 40.87410498922492),2,Bronx,207,11,78,36,13,1796,319,General,backed,03/27/2013,259 East 204th Street,259 East 204th Street,East 204th Street,Valentine Avenue & E Mosholu Pkwy,Bronx,207,Not Applicable,Not Applicable,40.8741049892,-73.8840309758,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92052156990088 40.867891710410284),1,Manhattan,112,10,72,31,13,1923,803,General,backless,07/19/2013,4953 Broadway,4953 Broadway,Broadway,Isham Street & West 207th Street,Manhattan,112,Not Applicable,Not Applicable,40.8679,-73.920523,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.93840556480296 40.84629071535887),1,Manhattan,112,10,72,31,13,3337,9014,Plaza,backless,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.846299,-73.938407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93240557685303 40.67943174729975),3,Brooklyn,303,36,56,25,8,122,432,Bus Route,backless 2,04/21/2012,1700 Fulton Street,48 Utica Avenue,Utica Avenue,Atlantic Avenue and Fulton Street,Brooklyn,303,B46,Not Applicable,40.67944,-73.932407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92406858384147 40.61118376029179),3,Brooklyn,318,46,59,22,8,145,2,Bus Route,backless,04/21/2012,2424 Flatbush Avenue,2424 Flatbush Avenue,Utica Avenue,Avenue T and Avenue U,Brooklyn,318,B46,Not Applicable,40.611192,-73.92407,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.81403161329932 40.702522738720205),4,Queens,412,24,24,14,5,3628,75,General,backed 2,03/25/2017,138-42 Jamaica Avenue,138-42 Jamaica Avenue,Jamaica Avenue,Queens Blvd & 139th Street,Queens,412,Q24,Not Applicable,40.702531,-73.814033,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97570092396697 40.686818869974616),3,Brooklyn,302,35,57,25,8,1062,282,Plaza,backless 2,05/16/2018,650 Fulton Street,650 Fulton Street,Plaza,Fulton Street and Lafayette Avenue,Brooklyn,302,Not Applicable,Not Applicable,40.68681887,-73.975700924,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96403557028803 40.624893759220754),3,Brooklyn,314,44,48,17,9,1501,610,General,backed,05/29/2013,1201 Avenue J,995 East 12th St,East 12th Street,E. 12th Street and E. 13th Street,Brooklyn,314,Not Applicable,Not Applicable,40.624902,-73.964037,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94134157013612 40.750819734167194),4,Queens,402,26,37,12,12,1875,798,General,backed 2,09/24/2013,24-02 Queens Plaza South,24-02 Queens Plaza South,24th Street,24th Street & Crescent Street,Queens,402,Not Applicable,Long Island City,40.750828,-73.941343,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.7887756225149 40.69315773986434),4,Queens,412,28,32,10,5,3519,2335,General,backed,12/09/2016,110-04 Guy R Brewer Blvd,110-04 Guy R Brewer Blvd,Guy R Brewer Blvd,Brinkenhoff Avenue & 110th Road,Queens,412,Q111,Not Applicable,40.693166,-73.788777,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94990457178486 40.681960747520684),3,Brooklyn,303,36,57,25,8,3724,261,Senior Safety,backed,08/24/2017,496 Nostrand Avenue,496 Nostrand Avenue,Nostrand Avenue,Hancock Street & Halsey Street,Brooklyn,303,Not Applicable,Not Applicable,40.681969,-73.949906,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1674,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.9019985740444 40.882858706345445),2,Bronx,208,11,81,33,13,3746,216,BID,backed,08/01/2017,5740 Broadway,5740 Broadway,Broadway,W 236th Street & W 234th Street,Bronx,208,Not Applicable,Kingsbridge,40.882867,-73.902,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.87016359792153 40.667880747221425),3,Brooklyn,305,42,60,19,8,4019,371,Bus Route,backless 2,01/19/2018,2555 Linden Boulevard,2555 Linden Boulevard,Linden Boulevard,Euclid Avenue & Fountain Avenue,Brooklyn,305,B20,Not Applicable,40.667889,-73.870165,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95782656690453 40.708382743182476),3,Brooklyn,301,33,50,18,7,82,21,Bus Route,backless,04/14/2012,302 Broadway,302 Broadway,Broadway,Marcy Avenue and Rodney Street,Brooklyn,301,B46,Not Applicable,40.708391,-73.957828,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95043157114429 40.690716745992184),3,Brooklyn,303,36,56,25,8,2131,773,Community Health Centers,backed,09/12/2013,114 Kosciuszko Street,114 Kosciuszko Street,Kosciuszko Street,Nostrand and Marcy Avenues,Brooklyn,303,Not Applicable,Not Applicable,40.690725,-73.950433,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82097061296476 40.67026274577826),4,Queens,410,32,31,15,5,588,149,Bus Route,backless,06/29/2012,135-08 Lefferts Boulevard,,Lefferts Boulevard,135th and 149th Avenues,Queens,410,Q10,Not Applicable,40.670271,-73.820972,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98438156568552 40.59622376582034),3,Brooklyn,311,47,47,22,10,3276,1910,Municipal Facilities,backed,05/21/2016,2631 86th Street,2631 86th Street,86th Street,Stillwell Avenue & West 13th Street,Brooklyn,311,Not Applicable,Not Applicable,40.596232,-73.984383,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.9505965745034 40.63238175702468),3,Brooklyn,314,45,42,21,9,3151,1434,General,backed,09/09/2015,2707 Campus Road,2707 Campus Road,Campus Road,Amersfort Place & E 27th Street,Brooklyn,314,Not Applicable,Not Applicable,40.63239,-73.950598,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.96655656883293 40.63397175800238),3,Brooklyn,314,40,44,17,9,3124,1893,General,backed,09/09/2015,1100 Newkirk Avenue,1100 Newkirk Avenue,Newkirk Avenue,Coney Island Avenue & Westminster Road,Brooklyn,314,Not Applicable,Not Applicable,40.63398,-73.966558,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.87904758243687 40.87349070751447),2,Bronx,207,11,80,36,13,1969,612,General,backed,07/02/2013,283 East 204th Street,283 East 204th Street,East 204th Street,East 205th Street & Perry Avenue,Bronx,207,Not Applicable,Not Applicable,40.873499,-73.879049,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95277256478862 40.775758729854),1,Manhattan,108,5,76,28,12,3832,65,General,backed 2,07/05/2017,303 E 83rd Street,1610 2nd Ave,2nd Avenue,2nd Avenue & 1st Avenue,Manhattan,108,Not Applicable,Not Applicable,40.775767,-73.952774,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8645805954646 40.73700173378069),4,Queens,404,21,35,13,14,2976,598,Municipal Facilities,backless,11/24/2014,96-15 57th Avenue,96-17 57th Avenue,57th Avenue,96th Street & 97th Street,Queens,404,Q38,Not Applicable,40.73701,-73.864582,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9883005576172 40.714202742329114),1,Manhattan,103,1,65,26,7,3331,2377,Municipal Facilities,backed,06/02/2016,197 East Broadway,197 East Broadway,E Broadway,Jefferson Street & Clinton Street,Manhattan,103,Not Applicable,Not Applicable,40.714211,-73.988302,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9817185576156 40.74943873540296),1,Manhattan,106,4,73,28,12,435,522,General,backless,04/09/2013,227 Madison Avenue,227 Madison Avenue,Madison Avenue,E36th & E37th Street,Manhattan,106,M1,Not Applicable,40.749447,-73.98172,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00738054975517 40.7268537408616),1,Manhattan,102,3,66,27,10,3045,1945,Municipal Facilities,backless,04/16/2016,330 Hudson Street,330 Hudson Street,Hudson Street,Vandam Street and Charlton Street,Manhattan,102,M20,Hudson Square Connection,40.726862,-74.007382,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.96673756635245 40.68263974852987),3,Brooklyn,302,35,57,25,8,2050,1107,General,backed,07/09/2013,520 Clinton Avenue,520 Clinton Avenue,Clinton Avenue,Atlantic Avenue and Fulton Street,Brooklyn,302,Not Applicable,Not Applicable,40.682648,-73.966739,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95733756740353 40.71667674131486),3,Brooklyn,301,33,50,18,12,952,298,Senior Center,backed,02/13/2013,179 North 6th Street,179 North 6th Street,179 North 6th Street,Bedford Avenue & Driggs Avenue,Brooklyn,301,Not Applicable,Not Applicable,40.716685,-73.957339,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.90949457845012 40.77709672795894),4,Queens,401,22,36,13,14,1024,276,Senior Center,backed,04/19/2013,21-45 31st Street,21-45 31st Street,31st Street,21st Avenue & Ditmars,Queens,401,Not Applicable,Not Applicable,40.777105,-73.909496,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86068859151428 40.81729671788821),2,Bronx,209,18,85,34,15,3590,131,Municipal Facilities,backed 2,07/06/2017,1846 Randall Avenue,1846 Randall Avenue,Thieriot Avenue,Thieriot Avenue & Leland Avenue,Bronx,209,Not Applicable,Not Applicable,40.817305,-73.86069,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.78791662250556 40.69925473870805),4,Queens,412,27,32,14,5,3615,63,Senior Center,backed 2,05/13/2017,107-36 Merrick Blvd,107-36 Merrick Blvd,Merrick Blvd,107th Avenue & Hendrickson Place,Queens,412,Not Applicable,Not Applicable,40.699263,-73.787918,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.93534256921036 40.79610272483933),1,Manhattan,111,8,68,29,13,1236,1432,General,backed,10/11/2012,2261 First Avenue,2261 First Avenue,E 116th Street,E 116th Street and E 117th Street,Manhattan,111,Not Applicable,Not Applicable,40.796111,-73.935344,AE,,3
POINT (-73.84733360128226 40.72211173592063),4,Queens,406,29,28,16,6,1174,357,Senior Center,backed,12/12/2012,106-06 Queens Boulevard,106-06 Queens Boulevard,69th Road,Austin Street and Queens Boulevard,Queens,406,Not Applicable,Not Applicable,40.72212,-73.847335,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8699045933403 40.73599173454273),4,Queens,404,25,35,16,6,3965,443,Bus Route,backless 2,02/14/2018,56-50 92nd Street,56-50 92nd Street,92nd Street,56th Avenue & 57th Avenue,Queens,404,Q29,Not Applicable,40.736,-73.869906,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.77316662280319 40.76779672508475),4,Queens,411,19,26,11,6,1504,355,BID,backed,01/25/2013,36-01 Bell Blvd,36-01 Bell Blvd,Bell Blvd,36th and 38th Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.767805,-73.773168,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00112355489817 40.688309748269134),3,Brooklyn,306,39,52,26,7,3109,1799,General,backed,05/22/2015,100 Columbia Street,100 Columbia Street,Columbia Street,Kane Street and Degraw Street,Brooklyn,306,Not Applicable,Not Applicable,40.688318,-74.001125,X,AREA OF MINIMAL FLOOD HAZARD,2
POINT (-74.06720653730875 40.61555076523398),5,Staten Island,501,49,64,23,11,947,410,General,backless,12/21/2012,1125 Bay Street,1125 Bay Street,Bay Street,St. Marys Avenue & Virginia Avenue,Staten Island,501,S51,Not Applicable,40.615559,-74.067208,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.98792356281545 40.62133576113458),3,Brooklyn,311,47,49,17,10,4096,589,General,backed,08/07/2018,6101 18th Avenue,6101 18th Avenue,18th Avenue,61st Street & 62nd Street,Brooklyn,311,Not Applicable,Not Applicable,40.621344,-73.987925,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82167960800082 40.75297272889758),4,Queens,407,20,40,16,6,3814,476,Senior Safety,backed 2,06/28/2017,44-39 Kissena Blvd,44-39 Kissena Blvd,Kissena Blvd,Cherry Avenue & 45th Avenue,Queens,407,Not Applicable,Not Applicable,40.752981,-73.821681,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97524255712725 40.78228672928),1,Manhattan,107,6,67,29,10,1823,1162,BID,backed,12/03/2013,408 Columbus Avenue,408 Columbus Avenue,Columbus Avenue,W79th & W80th Street,Manhattan,107,Not Applicable,Columbus Avenue,40.782295,-73.975244,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97178956911486 40.60423576355866),3,Brooklyn,315,47,45,22,11,4174,573,Bus Route,backless 2,09/26/2018,481 Kings Highway,481 Kings Highway,Kings Highway,McDonald Avenue & East 2nd Street,Brooklyn,315,B82,Not Applicable,40.604244,-73.971791,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.97657056419006 40.648935755420844),3,Brooklyn,307,39,44,21,9,854,84,General,backed,07/24/2012,160 East 5th Street,160 East 5th Street,East 5th Street,Caton Avenue and Fort Hamilton Parkway,Brooklyn,307,Not Applicable,Not Applicable,40.648944,-73.976572,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98245856152974 40.6658177521051),3,Brooklyn,306,39,44,21,9,4067,152,General,backless 2,05/08/2018,365 7th Avenue,365 7th Avenue,7th Avenue,10th Street & 11th Street,Brooklyn,306,B67,Not Applicable,40.665826,-73.98246,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84353660300366 40.71995173641992),4,Queens,406,29,28,16,6,1897,529,General,backed,04/26/2013,107-06 71st Road,107-06 71st Road,71st Road,Austin Street & Queens Blvd,Queens,406,Not Applicable,Not Applicable,40.71996,-73.843538,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88079958943884 40.741668733381765),4,Queens,404,25,39,16,6,3062,1973,General,backless,05/25/2016,82-66 Broadway,82-66 Broadway,Broadway,45th Avenue and Whitney Avenue,Queens,404,Q53,Not Applicable,40.741677,-73.880801,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8625749634915 40.74953406636619),4,Queens,404,21,39,13,14,1342,0,Plaza,backed 2,06/01/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495340664,-73.8625749635,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8875615804258 40.86784570953693),2,Bronx,207,15,78,34,13,3978,9999,Senior Center,backed,03/06/2018,323 E 198th Street,323 E 198th Street,E 198th Street,Bainbridge Ave & Pond Place,Bronx,207,Not Applicable,Not Applicable,40.867854,-73.887563,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91896457714854 40.74495773387572),4,Queens,402,26,37,12,14,3868,1871,Senior Safety,backed,,45-26 43rd Avenue,45-26 43rd Avenue,43rd Avenue,46th Street & 45th Street,Queens,402,Not Applicable,Not Applicable,40.744966,-73.918966,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88718558188054 40.83828971509437),2,Bronx,203,17,79,32,15,3527,558,Municipal Facilities,backed 2,05/26/2017,1778 Southern Boulevard,1778 Southern Boulevard,Boston Road & E. 175th Street,Boston Road,Bronx,203,Not Applicable,Not Applicable,40.838298,-73.887187,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83334760619695 40.715976736651186),4,Queens,406,29,27,14,6,3797,594,General,backed 2,06/28/2017,116-15 Queens Blvd,116-15 Queens Blvd,Queens Blvd,77th Avenue & 78th Avenue,Queens,406,Not Applicable,Not Applicable,40.715985,-73.833349,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98452955925296 40.68944774710887),3,Brooklyn,302,33,52,25,8,3175,1995,AAR,backed,09/09/2015,25 Elm Place,25 Elm Place,Elm Place,Livingston Street & Fulton Street,Brooklyn,302,Not Applicable,Fulton Mall Improvement Association,40.689456,-73.984531,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9892165593075 40.67058075116763),3,Brooklyn,306,39,52,20,7,1686,428,General,backless,01/09/2013,250 Ninth Street,250 Ninth Street,9th Street,4th Avenue & 3rd Avenue,Brooklyn,306,B61,Not Applicable,40.670589,-73.989218,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82032960820027 40.75175672981016),4,Queens,407,20,25,16,6,933,204,Senior Center,backed,09/12/2012,45-25 Kissena Boulevard,45-25 Kissena Boulevard,Kissena Boulevard,45th Avenue and Geranium Avenue,Queens,407,Not Applicable,Not Applicable,40.751765,-73.820331,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99351155457592 40.72929174009112),1,Manhattan,102,1,66,27,12,3046,1527,Municipal Facilities,backless,04/16/2015,721 Broadway,721 Broadway,Broadway,Waverley Street and Washington Street,Manhattan,102,M5,NOHO NY,40.7293,-73.993513,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94846660449407 40.640381959871995),3,Brooklyn,317,45,42,21,9,3048,1259,General,backless,11/25/2014,1860 Nostrand Avenue,1860 Nostrand Avenue,Nostrand Avenue,Avenue D & Newkirk Avenue,Brooklyn,317,B44,Not Applicable,40.6403819599,-73.9484666045,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.8805135893791 40.75605373116828),4,Queens,403,25,34,13,14,3813,1694,Senior Safety,backless,06/21/2017,87-10 Northern Boulevard,87-10 Northern Boulevard,Northern Boulevard,87th Street & 88th Street,Queens,403,Not Applicable,Not Applicable,40.756062,-73.880515,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97283256856058 40.60881776315393),3,Brooklyn,315,44,45,17,11,3563,2208,General,backed,02/13/2017,394 Ave P,394 Ave P,Avenue P,McDonald Avenue & 22nd Street,Brooklyn,315,Not Applicable,Not Applicable,40.608826,-73.972834,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.83390259699092 40.874082706436425),2,Bronx,210,12,82,36,16,1352,343,General,backed,01/11/2013,750 Baychester Avenue,750 Baychester Avenue,Baychester Avenue,Aldrich Street and Donizetti Place,Bronx,210,Not Applicable,Not Applicable,40.874091,-73.833904,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.84477059900412 40.78617072359389),4,Queens,407,19,27,11,14,1434,290,General,backed,04/19/2013,13-28 123rd Street,13-28 123rd Street,123rd Street,13th & 14th Avenue,Queens,407,Not Applicable,Not Applicable,40.786179,-73.844772,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86596000723954 40.82323970090984),2,Bronx,209,18,85,32,15,1168,344,Senior Center,backed,01/11/2013,1776 Story Avenue,1776 Story Avenue,Story Avenue,Rosedale Avenue and Taylor Avenue,Bronx,209,Not Applicable,Not Applicable,40.8232397009,-73.8659600072,X,AREA OF MINIMAL FLOOD HAZARD,4
